Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_Y55_09_01_01		1
1	2	YOR202W_Y55_09_01_02		1
1	3	YOR202W_Y55_09_01_03		1
1	4	YOR202W_Y55_09_01_04		1
1	5	YOR202W_Y55_09_01_05		1
1	6	YOR202W_Y55_09_01_06		1
1	7	YOR202W_Y55_09_01_07		1
1	8	YOR202W_Y55_09_01_08		1
1	9	YOR202W_Y55_09_01_09		1
1	10	YOR202W_Y55_09_01_10		1
1	11	YOR202W_Y55_09_01_11		1
1	12	YOR202W_Y55_09_01_12		1
1	13	YOR202W_Y55_09_01_13		1
1	14	YOR202W_Y55_09_01_14		1
1	15	YOR202W_Y55_09_01_15		1
1	16	YOR202W_Y55_09_01_16		1
1	17	YOR202W_Y55_09_01_17		1
1	18	YOR202W_Y55_09_01_18		1
1	19	YOR202W_Y55_09_01_19		1
1	20	YOR202W_Y55_09_01_20		1
1	21	YOR202W_Y55_09_01_21		1
1	22	YOR202W_Y55_09_01_22		1
1	23	YOR202W_Y55_09_01_23		1
1	24	YOR202W_Y55_09_01_24		1
1	25	YOR202W_Y55_09_01_25		1
1	26	YOR202W_Y55_09_01_26		1
1	27	YOR202W_Y55_09_01_27		1
1	28	YOR202W_Y55_09_01_28		1
1	29	YOR202W_Y55_09_01_29		1
1	30	YOR202W_Y55_09_01_30		1
1	31	YOR202W_Y55_09_01_31		1
1	32	YOR202W_Y55_09_01_32		1
1	33	YOR202W_Y55_09_01_33		1
1	34	YOR202W_Y55_09_01_34		1
1	35	YOR202W_Y55_09_01_35		1
1	36	YOR202W_Y55_09_01_36		1
1	37	YOR202W_Y55_09_01_37		1
1	38	YOR202W_Y55_09_01_38		1
1	39	YOR202W_Y55_09_01_39		1
1	40	YOR202W_Y55_09_01_40		1
1	41	YOR202W_Y55_09_01_41		1
1	42	YOR202W_Y55_09_01_42		1
1	43	YOR202W_Y55_09_01_43		1
1	44	YOR202W_Y55_09_01_44		1
1	45	YOR202W_Y55_09_01_45		1
1	46	YOR202W_Y55_09_01_46		1
1	47	YOR202W_Y55_09_01_47		1
1	48	YOR202W_Y55_09_01_48		1
2	1	YOR202W_Y55_09_02_01		1
2	2	YOR202W_Y55_09_02_02		1
2	3	YOR202W_Y55_09_02_03		1
2	4	YOR202W_Y55_09_02_04		1
2	5	YOR202W_Y55_09_02_05		1
2	6	YOR202W_Y55_09_02_06		1
2	7	YOR202W_Y55_09_02_07		1
2	8	YOR202W_Y55_09_02_08		1
